Subj	Item	Trial	List	Item.text	Response	Corr	CorrResp	RT	RespCat
vpc3010	critical-1VPC-P_14	59	2	[She will help the waiter]	Yes	0	No	659	FalseAlarm
vpc3010	critical-1VPC-P_20	65	2	[They will live down the lie]	Yes	1	Yes	396	Hit
vpc3010	critical-1VPC-P_12	86	2	[She will drive away the candidate]	No	0	Yes	501	Miss
vpc3010	critical-1VPC-P_8	97	2	[He will strike down the balance]	No	0	Yes	1111	Miss
vpc3010	critical-1VPC-P_4	100	2	[He will lock up the bicycle]	Yes	1	Yes	898	Hit
vpc3010	critical-1VPC-P_31	106	2	[We will show the ponies]	No	0	Yes	337	Miss
vpc3010	critical-1VPC-P_13	108	2	[She will close up the cafթ]	No	1	No	513	CorrReject
vpc3010	critical-1VPC-P_30	113	2	[We will pull the sticker]	No	1	No	224	CorrReject
vpc3010	critical-1VPC-P_9	120	2	[She will pair off the geese]	No	1	No	1045	CorrReject
vpc3010	critical-1VPC-P_32	123	2	[We will tie up the canoe]	No	0	Yes	294	Miss
vpc3010	critical-1VPC-P_29	138	2	[We will smooth over the frosting]	No	1	No	1048	CorrReject
vpc3010	critical-1VPC-P_1	143	2	[He will hold down the line]	No	1	No	717	CorrReject
vpc3010	critical-1VPC-P_10	146	2	[She will check the books]	Yes	0	No	685	FalseAlarm
vpc3010	critical-1VPC-P_6	149	2	[He will run the hills]	No	1	No	516	CorrReject
vpc3010	critical-1VPC-P_3	154	2	[He will cover the research]	Yes	1	Yes	682	Hit
vpc3010	critical-1VPC-P_11	155	2	[She will shut the computer]	No	0	Yes	793	Miss
vpc3010	critical-1VPC-P_17	159	2	[They will shoot down the hawk]	Yes	0	No	493	FalseAlarm
vpc3011	critical-1VPC-P_8	2	7	[He will hold the job]	Yes	1	Yes	1127	Hit
vpc3011	critical-1VPC-P_25	5	7	[We will bring in the dog]	Yes	1	Yes	1055	Hit
vpc3011	critical-1VPC-P_12	12	7	[She will give the prizes]	Yes	1	Yes	1368	Hit
vpc3011	critical-1VPC-P_2	18	7	[He wil round up the fractions]	No	1	No	1851	CorrReject
vpc3011	critical-1VPC-P_11	20	7	[She will close the slide]	No	1	No	1949	CorrReject
vpc3011	critical-1VPC-P_29	21	7	[We will make over the model]	Yes	1	Yes	1713	Hit
vpc3011	critical-1VPC-P_32	22	7	[We will buy the supplies]	Yes	1	Yes	1586	Hit
vpc3011	critical-1VPC-P_26	28	7	[We will bail out the prisoner]	No	1	No	1302	CorrReject
vpc3011	critical-1VPC-P_24	29	7	[They will find the word]	Yes	1	Yes	1874	Hit
vpc3011	critical-1VPC-P_23	34	7	[They will throw the frisbee]	No	1	No	1952	CorrReject
vpc3011	critical-1VPC-P_3	43	7	[He will eat the spaghetti]	No	1	No	1674	CorrReject
vpc3011	critical-1VPC-P_5	44	7	[He will run over the trail]	Yes	1	Yes	2475	Hit
vpc3011	critical-1VPC-P_27	45	7	[We will call the juror]	No	1	No	1130	CorrReject
vpc3011	critical-1VPC-P_4	49	7	[He will cut the meat]	Yes	1	Yes	1541	Hit
vpc3011	critical-1VPC-P_14	57	7	[She will clear out the drawer]	No	1	No	1751	CorrReject
vpc3011	critical-1VPC-P_21	74	7	[They will seal off the bag]	Yes	1	Yes	1728	Hit
vpc3011	critical-1VPC-P_28	81	7	[We will charge the phone]	Yes	1	Yes	1563	Hit
vpc3011	critical-1VPC-P_17	89	7	[They will boil down the soup]	Yes	1	Yes	1433	Hit
vpc3011	critical-1VPC-P_20	93	7	[They will pull the photo]	No	0	Yes	1283	Miss
vpc3011	critical-1VPC-P_16	97	7	[She will buy the store]	Yes	1	Yes	1555	Hit
vpc3011	critical-1VPC-P_30	112	7	[We will mark off the pages]	No	1	No	1477	CorrReject
vpc3011	critical-1VPC-P_1	114	7	[He will bring down the crowd]	Yes	1	Yes	1632	Hit
vpc3011	critical-1VPC-P_6	124	7	[He will hold up the lizard]	No	1	No	1523	CorrReject
vpc3011	critical-1VPC-P_13	128	7	[She will finish up the game]	Yes	1	Yes	1606	Hit
vpc3011	critical-1VPC-P_18	135	7	[They will mark up the lumber]	No	1	No	1502	CorrReject
vpc3011	critical-1VPC-P_19	144	7	[They will keep the secret]	No	1	No	1605	CorrReject
vpc3011	critical-1VPC-P_7	145	7	[He will see the rumors]	No	1	No	1607	CorrReject
vpc3011	critical-1VPC-P_31	151	7	[We will set the timer]	No	1	No	1408	CorrReject
vpc3011	critical-1VPC-P_9	152	7	[She will break off the stick]	No	0	Yes	1482	Miss
vpc3011	critical-1VPC-P_22	153	7	[They will look over the part]	No	1	No	1462	CorrReject
vpc3011	critical-1VPC-P_15	157	7	[She will patch the tire]	No	1	No	1436	CorrReject
vpc3012	critical-1VPC-P_31	8	3	[We will set the timer]	No	1	No	1255	CorrReject
vpc3012	critical-1VPC-P_30	11	3	[We will mark off the pages]	No	1	No	985	CorrReject
vpc3012	critical-1VPC-P_14	13	3	[She will clear out the drawer]	No	1	No	892	CorrReject
vpc3012	critical-1VPC-P_4	19	3	[He will cut the meat]	No	0	Yes	1697	Miss
vpc3012	critical-1VPC-P_10	20	3	[She will drive out the trucks]	No	1	No	1255	CorrReject
vpc3012	critical-1VPC-P_27	27	3	[We will call the juror]	No	1	No	912	CorrReject
vpc3012	critical-1VPC-P_18	33	3	[They will mark up the lumber]	No	1	No	1065	CorrReject
vpc3012	critical-1VPC-P_11	44	3	[She will close the slide]	No	1	No	1019	CorrReject
vpc3012	critical-1VPC-P_17	45	3	[They will boil down the soup]	Yes	1	Yes	1014	Hit
vpc3012	critical-1VPC-P_8	53	3	[He will hold the job]	No	0	Yes	658	Miss
vpc3012	critical-1VPC-P_6	69	3	[He will hold up the lizard]	No	1	No	1363	CorrReject
vpc3012	critical-1VPC-P_25	76	3	[We will bring in the dog]	Yes	1	Yes	1014	Hit
vpc3012	critical-1VPC-P_23	78	3	[They will throw the frisbee]	No	1	No	1276	CorrReject
vpc3012	critical-1VPC-P_13	86	3	[She will finish up the game]	No	0	Yes	832	Miss
vpc3012	critical-1VPC-P_1	95	3	[He will bring down the crowd]	Yes	1	Yes	1116	Hit
vpc3012	critical-1VPC-P_3	97	3	[He will eat the spaghetti]	No	1	No	1102	CorrReject
vpc3012	critical-1VPC-P_12	98	3	[She will give the prizes]	Yes	1	Yes	848	Hit
vpc3012	critical-1VPC-P_7	114	3	[He will see the rumors]	No	1	No	1210	CorrReject
vpc3012	critical-1VPC-P_5	119	3	[He will run over the trail]	Yes	1	Yes	850	Hit
vpc3012	critical-1VPC-P_9	122	3	[She will break off the stick]	Yes	1	Yes	1069	Hit
vpc3012	critical-1VPC-P_2	128	3	[He wil round up the fractions]	Yes	0	No	693	FalseAlarm
vpc3012	critical-1VPC-P_28	132	3	[We will charge the phone]	Yes	1	Yes	613	Hit
vpc3012	critical-1VPC-P_29	133	3	[We will make over the model]	Yes	1	Yes	864	Hit
vpc3012	critical-1VPC-P_26	134	3	[We will bail out the prisoner]	Yes	0	No	757	FalseAlarm
vpc3012	critical-1VPC-P_20	142	3	[They will pull the photo]	Yes	1	Yes	771	Hit
vpc3012	critical-1VPC-P_19	145	3	[They will keep the secret]	No	1	No	864	CorrReject
vpc3012	critical-1VPC-P_15	149	3	[She will patch the tire]	Yes	0	No	703	FalseAlarm
vpc3012	critical-1VPC-P_22	151	3	[They will look over the part]	No	1	No	1010	CorrReject
vpc3012	critical-1VPC-P_24	155	3	[They will find the word]	Yes	1	Yes	904	Hit
vpc3012	critical-1VPC-P_16	156	3	[She will buy the store]	Yes	1	Yes	756	Hit
vpc3012	critical-1VPC-P_32	157	3	[We will buy the supplies]	Yes	1	Yes	678	Hit
vpc3012	critical-1VPC-P_21	158	3	[They will seal off the bag]	Yes	1	Yes	757	Hit
vpc3013	critical-1VPC-P_31	9	1	[We will set off the timer]	Yes	1	Yes	1283	Hit
vpc3013	critical-1VPC-P_8	12	1	[He will hold down the job]	Yes	0	No	1045	FalseAlarm
vpc3013	critical-1VPC-P_23	20	1	[They will throw over the frisbee]	Yes	1	Yes	1293	Hit
vpc3013	critical-1VPC-P_21	22	1	[They will seal the bag]	Yes	0	No	1206	FalseAlarm
vpc3013	critical-1VPC-P_4	29	1	[He will cut up the meat]	Yes	0	No	1002	FalseAlarm
vpc3013	critical-1VPC-P_27	30	1	[We will call forth the juror]	Yes	1	Yes	1252	Hit
vpc3013	critical-1VPC-P_18	31	1	[They will mark the lumber]	Yes	1	Yes	1050	Hit
vpc3013	critical-1VPC-P_25	32	1	[We will bring the dog]	Yes	0	No	2063	FalseAlarm
vpc3013	critical-1VPC-P_11	33	1	[She will close down the slide]	Yes	1	Yes	1928	Hit
vpc3013	critical-1VPC-P_24	43	1	[They will find out the word]	Yes	0	No	1463	FalseAlarm
vpc3013	critical-1VPC-P_22	44	1	[They will look the part]	Yes	1	Yes	915	Hit
vpc3013	critical-1VPC-P_10	45	1	[She will drive the trucks]	Yes	1	Yes	878	Hit
vpc3013	critical-1VPC-P_26	47	1	[We will bail the prisoner]	Yes	1	Yes	868	Hit
vpc3013	critical-1VPC-P_14	49	1	[She will clear the drawer]	Yes	1	Yes	1532	Hit
vpc3013	critical-1VPC-P_29	52	1	[We will make the model]	No	1	No	1880	CorrReject
vpc3013	critical-1VPC-P_30	71	1	[We will mark the pages]	Yes	1	Yes	1274	Hit
vpc3013	critical-1VPC-P_16	75	1	[She will buy out the store]	Yes	0	No	1483	FalseAlarm
vpc3013	critical-1VPC-P_19	87	1	[They will keep up the secret]	Yes	1	Yes	934	Hit
vpc3013	critical-1VPC-P_20	88	1	[They will pull down the photo]	Yes	0	No	1484	FalseAlarm
vpc3013	critical-1VPC-P_15	89	1	[She will patch up the tire]	Yes	1	Yes	1018	Hit
vpc3013	critical-1VPC-P_5	94	1	[He will run the trail]	No	1	No	1330	CorrReject
vpc3013	critical-1VPC-P_28	106	1	[We will charge up the phone]	Yes	0	No	1075	FalseAlarm
vpc3013	critical-1VPC-P_6	112	1	[He will hold the lizard]	Yes	1	Yes	1869	Hit
vpc3013	critical-1VPC-P_13	126	1	[She will finish the game]	Yes	0	No	1369	FalseAlarm
vpc3013	critical-1VPC-P_12	128	1	[She will give away the prizes]	Yes	0	No	1438	FalseAlarm
vpc3013	critical-1VPC-P_17	131	1	[They will boil the soup]	Yes	0	No	1256	FalseAlarm
vpc3013	critical-1VPC-P_32	133	1	[We will buy up the supplies]	Yes	0	No	1319	FalseAlarm
vpc3013	critical-1VPC-P_1	135	1	[He will bring the crowd]	Yes	0	No	788	FalseAlarm
vpc3013	critical-1VPC-P_3	147	1	[He will eat up the spaghetti]	Yes	1	Yes	1124	Hit
vpc3013	critical-1VPC-P_2	149	1	[He wil round the fractions]	Yes	1	Yes	983	Hit
vpc3013	critical-1VPC-P_9	151	1	[She will break the stick]	Yes	0	No	1017	FalseAlarm
vpc3013	critical-1VPC-P_7	153	1	[He will see through the rumors]	No	0	Yes	1642	Miss
vpc3014	critical-1VPC-P_1	9	7	[He will bring down the crowd]	Yes	1	Yes	790	Hit
vpc3014	critical-1VPC-P_12	15	7	[She will give the prizes]	No	0	Yes	589	Miss
vpc3014	critical-1VPC-P_27	17	7	[We will call the juror]	Yes	0	No	1074	FalseAlarm
vpc3014	critical-1VPC-P_19	18	7	[They will keep the secret]	Yes	0	No	732	FalseAlarm
vpc3014	critical-1VPC-P_32	21	7	[We will buy the supplies]	No	0	Yes	935	Miss
vpc3014	critical-1VPC-P_14	22	7	[She will clear out the drawer]	Yes	0	No	829	FalseAlarm
vpc3014	critical-1VPC-P_3	26	7	[He will eat the spaghetti]	Yes	0	No	536	FalseAlarm
vpc3014	critical-1VPC-P_9	31	7	[She will break off the stick]	Yes	1	Yes	570	Hit
vpc3014	critical-1VPC-P_2	33	7	[He wil round up the fractions]	No	1	No	574	CorrReject
vpc3014	critical-1VPC-P_25	45	7	[We will bring in the dog]	Yes	1	Yes	621	Hit
vpc3014	critical-1VPC-P_18	46	7	[They will mark up the lumber]	Yes	0	No	918	FalseAlarm
vpc3014	critical-1VPC-P_28	66	7	[We will charge the phone]	Yes	1	Yes	1256	Hit
vpc3014	critical-1VPC-P_26	70	7	[We will bail out the prisoner]	Yes	0	No	1219	FalseAlarm
vpc3014	critical-1VPC-P_22	75	7	[They will look over the part]	Yes	0	No	2234	FalseAlarm
vpc3014	critical-1VPC-P_13	76	7	[She will finish up the game]	Yes	1	Yes	1925	Hit
vpc3014	critical-1VPC-P_31	78	7	[We will set the timer]	No	1	No	1197	CorrReject
vpc3014	critical-1VPC-P_10	81	7	[She will drive out the trucks]	No	1	No	1447	CorrReject
vpc3014	critical-1VPC-P_23	87	7	[They will throw the frisbee]	Yes	0	No	1055	FalseAlarm
vpc3014	critical-1VPC-P_29	89	7	[We will make over the model]	Yes	1	Yes	1803	Hit
vpc3014	critical-1VPC-P_24	90	7	[They will find the word]	Yes	1	Yes	975	Hit
vpc3014	critical-1VPC-P_16	100	7	[She will buy the store]	Yes	1	Yes	1312	Hit
vpc3014	critical-1VPC-P_21	110	7	[They will seal off the bag]	Yes	1	Yes	830	Hit
vpc3014	critical-1VPC-P_20	111	7	[They will pull the photo]	Yes	1	Yes	1471	Hit
vpc3014	critical-1VPC-P_17	122	7	[They will boil down the soup]	Yes	1	Yes	793	Hit
vpc3014	critical-1VPC-P_11	124	7	[She will close the slide]	No	1	No	1020	CorrReject
vpc3014	critical-1VPC-P_8	125	7	[He will hold the job]	Yes	1	Yes	877	Hit
vpc3014	critical-1VPC-P_7	126	7	[He will see the rumors]	Yes	0	No	1077	FalseAlarm
vpc3014	critical-1VPC-P_15	127	7	[She will patch the tire]	Yes	0	No	1107	FalseAlarm
vpc3014	critical-1VPC-P_6	134	7	[He will hold up the lizard]	Yes	0	No	1915	FalseAlarm
vpc3014	critical-1VPC-P_30	145	7	[We will mark off the pages]	Yes	0	No	503	FalseAlarm
vpc3014	critical-1VPC-P_5	150	7	[He will run over the trail]	Yes	1	Yes	834	Hit
vpc3014	critical-1VPC-P_4	155	7	[He will cut the meat]	Yes	1	Yes	971	Hit
vpc3015	critical-1VPC-P_6	5	4	[He will run up the hills]	Yes	1	Yes	1510	Hit
vpc3015	critical-1VPC-P_24	10	4	[They will wring the rag]	No	1	No	1594	CorrReject
vpc3015	critical-1VPC-P_25	20	4	[We will throw the towel]	Yes	1	Yes	1076	Hit
vpc3015	critical-1VPC-P_15	22	4	[She will set up the boundaries]	No	1	No	2172	CorrReject
vpc3015	critical-1VPC-P_16	23	4	[She will throw the trash]	No	1	No	1486	CorrReject
vpc3015	critical-1VPC-P_12	26	4	[She will drive the candidate]	No	1	No	1076	CorrReject
vpc3015	critical-1VPC-P_11	27	4	[She will shut down the computer]	No	1	No	820	CorrReject
vpc3015	critical-1VPC-P_22	34	4	[They will take over the position]	Yes	1	Yes	1315	Hit
vpc3015	critical-1VPC-P_30	41	4	[We will pull off the sticker]	Yes	1	Yes	1035	Hit
vpc3015	critical-1VPC-P_5	43	4	[He will pass the dessert]	Yes	1	Yes	770	Hit
vpc3015	critical-1VPC-P_27	51	4	[We will bring forth the gifts]	Yes	0	No	1545	FalseAlarm
vpc3015	critical-1VPC-P_17	55	4	[They will shoot the hawk]	Yes	1	Yes	908	Hit
vpc3015	critical-1VPC-P_14	57	4	[She will help out the waiter]	Yes	1	Yes	892	Hit
vpc3015	critical-1VPC-P_3	63	4	[He will cover up the research]	No	1	No	822	CorrReject
vpc3015	critical-1VPC-P_8	76	4	[He will strike the balance]	No	1	No	963	CorrReject
vpc3015	critical-1VPC-P_29	78	4	[We will smooth the frosting]	Yes	1	Yes	926	Hit
vpc3015	critical-1VPC-P_26	80	4	[We will bust out the moves]	Yes	1	Yes	1041	Hit
vpc3015	critical-1VPC-P_32	84	4	[We will tie the canoe]	No	1	No	1023	CorrReject
vpc3015	critical-1VPC-P_31	85	4	[We will show off the ponies]	No	1	No	1103	CorrReject
vpc3015	critical-1VPC-P_9	86	4	[She will pair the geese]	Yes	1	Yes	1138	Hit
vpc3015	critical-1VPC-P_18	101	4	[They will catch up the students]	Yes	1	Yes	753	Hit
vpc3015	critical-1VPC-P_4	104	4	[He will lock the bicycle]	No	1	No	1261	CorrReject
vpc3015	critical-1VPC-P_20	116	4	[They will live the lie]	No	1	No	1075	CorrReject
vpc3015	critical-1VPC-P_23	117	4	[They will check over the essays]	No	1	No	1080	CorrReject
vpc3015	critical-1VPC-P_13	120	4	[She will close the cafթ]	Yes	1	Yes	854	Hit
vpc3015	critical-1VPC-P_10	121	4	[She will check out the books]	Yes	1	Yes	925	Hit
vpc3015	critical-1VPC-P_7	132	4	[He will think through the thoughts]	No	1	No	1134	CorrReject
vpc3015	critical-1VPC-P_2	135	4	[He will buy up the land]	Yes	1	Yes	1259	Hit
vpc3015	critical-1VPC-P_28	137	4	[We will dress the doll]	No	1	No	646	CorrReject
vpc3015	critical-1VPC-P_19	140	4	[They will carry up the groceries]	No	1	No	1370	CorrReject
vpc3015	critical-1VPC-P_1	150	4	[He will hold the line]	Yes	1	Yes	964	Hit
vpc3015	critical-1VPC-P_21	155	4	[They will lead the dance]	Yes	1	Yes	698	Hit
vpc3016	critical-1VPC-P_13	2	4	[She will close the cafթ]	Yes	1	Yes	824	Hit
vpc3016	critical-1VPC-P_11	8	4	[She will shut down the computer]	Yes	0	No	1225	FalseAlarm
vpc3016	critical-1VPC-P_26	16	4	[We will bust out the moves]	Yes	1	Yes	1495	Hit
vpc3016	critical-1VPC-P_5	19	4	[He will pass the dessert]	Yes	1	Yes	914	Hit
vpc3016	critical-1VPC-P_28	20	4	[We will dress the doll]	No	1	No	853	CorrReject
vpc3016	critical-1VPC-P_12	21	4	[She will drive the candidate]	No	1	No	1026	CorrReject
vpc3016	critical-1VPC-P_16	25	4	[She will throw the trash]	No	1	No	1015	CorrReject
vpc3016	critical-1VPC-P_15	31	4	[She will set up the boundaries]	No	1	No	1150	CorrReject
vpc3016	critical-1VPC-P_2	37	4	[He will buy up the land]	No	0	Yes	799	Miss
vpc3016	critical-1VPC-P_6	43	4	[He will run up the hills]	No	0	Yes	1258	Miss
vpc3016	critical-1VPC-P_3	49	4	[He will cover up the research]	No	1	No	654	CorrReject
vpc3016	critical-1VPC-P_17	53	4	[They will shoot the hawk]	Yes	1	Yes	1333	Hit
vpc3016	critical-1VPC-P_22	58	4	[They will take over the position]	Yes	1	Yes	1133	Hit
vpc3016	critical-1VPC-P_23	61	4	[They will check over the essays]	No	1	No	1368	CorrReject
vpc3016	critical-1VPC-P_29	69	4	[We will smooth the frosting]	Yes	1	Yes	1358	Hit
vpc3016	critical-1VPC-P_21	78	4	[They will lead the dance]	No	0	Yes	619	Miss
vpc3016	critical-1VPC-P_9	95	4	[She will pair the geese]	No	0	Yes	620	Miss
vpc3016	critical-1VPC-P_27	98	4	[We will bring forth the gifts]	No	1	No	1196	CorrReject
vpc3016	critical-1VPC-P_7	102	4	[He will think through the thoughts]	No	1	No	1292	CorrReject
vpc3016	critical-1VPC-P_25	116	4	[We will throw the towel]	Yes	1	Yes	1011	Hit
vpc3016	critical-1VPC-P_19	118	4	[They will carry up the groceries]	Yes	0	No	676	FalseAlarm
vpc3016	critical-1VPC-P_14	125	4	[She will help out the waiter]	No	0	Yes	854	Miss
vpc3016	critical-1VPC-P_1	126	4	[He will hold the line]	Yes	1	Yes	734	Hit
vpc3016	critical-1VPC-P_30	129	4	[We will pull off the sticker]	No	0	Yes	816	Miss
vpc3016	critical-1VPC-P_8	137	4	[He will strike the balance]	No	1	No	934	CorrReject
vpc3016	critical-1VPC-P_32	138	4	[We will tie the canoe]	No	1	No	1088	CorrReject
vpc3016	critical-1VPC-P_10	144	4	[She will check out the books]	Yes	1	Yes	673	Hit
vpc3016	critical-1VPC-P_18	145	4	[They will catch up the students]	Yes	1	Yes	860	Hit
vpc3016	critical-1VPC-P_31	150	4	[We will show off the ponies]	Yes	0	No	660	FalseAlarm
vpc3016	critical-1VPC-P_20	153	4	[They will live the lie]	No	1	No	1190	CorrReject
vpc3016	critical-1VPC-P_4	159	4	[He will lock the bicycle]	No	1	No	1235	CorrReject
vpc3016	critical-1VPC-P_24	160	4	[They will wring the rag]	No	1	No	877	CorrReject
vpc3017	critical-1VPC-P_28	8	6	[We will dress up the doll]	No	0	Yes	78	Miss
vpc3017	critical-1VPC-P_17	9	6	[They will shoot down the hawk]	Yes	0	No	42	FalseAlarm
vpc3017	critical-1VPC-P_1	13	6	[He will hold down the line]	Yes	0	No	48	FalseAlarm
vpc3017	critical-1VPC-P_30	20	6	[We will pull the sticker]	Yes	0	No	71	FalseAlarm
vpc3017	critical-1VPC-P_31	25	6	[We will show the ponies]	Yes	1	Yes	44	Hit
vpc3017	critical-1VPC-P_11	32	6	[She will shut the computer]	Yes	1	Yes	128	Hit
vpc3017	critical-1VPC-P_9	36	6	[She will pair off the geese]	Yes	0	No	124	FalseAlarm
vpc3017	critical-1VPC-P_26	41	6	[We will bust the moves]	Yes	0	No	68	FalseAlarm
vpc3017	critical-1VPC-P_13	46	6	[She will close up the cafթ]	Yes	0	No	3	FalseAlarm
vpc3017	critical-1VPC-P_29	48	6	[We will smooth over the frosting]	Yes	0	No	34	FalseAlarm
vpc3017	critical-1VPC-P_6	52	6	[He will run the hills]	Yes	0	No	110	FalseAlarm
vpc3017	critical-1VPC-P_10	58	6	[She will check the books]	Yes	0	No	109	FalseAlarm
vpc3017	critical-1VPC-P_23	66	6	[They will check the essays]	No	0	Yes	923	Miss
vpc3017	critical-1VPC-P_14	67	6	[She will help the waiter]	No	1	No	1625	CorrReject
vpc3017	critical-1VPC-P_20	78	6	[They will live down the lie]	No	0	Yes	104	Miss
vpc3017	critical-1VPC-P_7	79	6	[He will think the thoughts]	Yes	1	Yes	904	Hit
vpc3017	critical-1VPC-P_24	83	6	[They will wring out the rag]	Yes	1	Yes	1959	Hit
vpc3017	critical-1VPC-P_22	105	6	[They will take the position]	No	1	No	52	CorrReject
vpc3017	critical-1VPC-P_2	110	6	[He will buy the land]	No	1	No	264	CorrReject
vpc3017	critical-1VPC-P_27	111	6	[We will bring the gifts]	No	0	Yes	591	Miss
vpc3017	critical-1VPC-P_15	112	6	[She will set the boundaries]	Yes	1	Yes	312	Hit
vpc3017	critical-1VPC-P_3	118	6	[He will cover the research]	Yes	1	Yes	240	Hit
vpc3017	critical-1VPC-P_8	120	6	[He will strike down the balance]	Yes	1	Yes	544	Hit
vpc3017	critical-1VPC-P_32	124	6	[We will tie up the canoe]	No	0	Yes	449	Miss
vpc3017	critical-1VPC-P_18	127	6	[They will catch the students]	Yes	0	No	967	FalseAlarm
vpc3017	critical-1VPC-P_12	131	6	[She will drive away the candidate]	Yes	1	Yes	431	Hit
vpc3017	critical-1VPC-P_19	132	6	[They will carry the groceries]	Yes	1	Yes	1152	Hit
vpc3017	critical-1VPC-P_5	140	6	[He will pass over the dessert]	Yes	0	No	169	FalseAlarm
vpc3017	critical-1VPC-P_16	147	6	[She will throw out the trash]	Yes	1	Yes	725	Hit
vpc3017	critical-1VPC-P_4	150	6	[He will lock up the bicycle]	No	0	Yes	1399	Miss
vpc3017	critical-1VPC-P_25	152	6	[We will throw in the towel]	No	1	No	116	CorrReject
vpc3018	critical-1VPC-P_13	1	3	[She will finish up the game]	No	0	Yes	479	Miss
vpc3018	critical-1VPC-P_19	14	3	[They will keep the secret]	Yes	0	No	2117	FalseAlarm
vpc3018	critical-1VPC-P_24	17	3	[They will find the word]	No	0	Yes	1843	Miss
vpc3018	critical-1VPC-P_30	18	3	[We will mark off the pages]	Yes	0	No	1678	FalseAlarm
vpc3018	critical-1VPC-P_4	21	3	[He will cut the meat]	Yes	1	Yes	1225	Hit
vpc3018	critical-1VPC-P_3	24	3	[He will eat the spaghetti]	Yes	0	No	1481	FalseAlarm
